Model	Color	Retail_Price($)	Number_of_Sales	Avg_Sale_Price($)	Price_Premium (%)
adidas Yeezy Boost 350 V2 Beluga 2.0	Grey/Bold Orange/Dark Grey 	220	37501	399	100
adidas Yeezy Boost 350 V2 Butter	Butter/Butter/Butter 	220	35599	277	17
adidas Yeezy 500 Blush	Blush/Blush/Blush 	200	34960	292	65
adidas Yeezy Boost 350 V2 Blue Tint	Blue Tint/Grey Three/High Risk Red 	220	32575	380	70
adidas Yeezy Wave Runner 700 Solid Grey	Solid Grey/Chalk White/Core Black 	300	29730	471	12
adidas Yeezy 500 Utility Black	Utility Black/Utility Black/Utility Black 	200	18032	273	60
adidas Yeezy Boost 350 V2 Cream/Triple White	Cream White/Cream White 	220	16920	368	9
adidas Yeezy 500 Super Moon Yellow	Super Moon Yellow/Super Moon Yellow/Super Moon Yellow 	200	10315	253	19
adidas Yeezy Boost 350 V2 Zebra	White/Core Black/Red 	220	9949	530	68
adidas Yeezy Powerphase Calabasas Core Black	Core Black/Core Black/Core Black 	120	8023	122	-6
adidas Yeezy Powerphase Calabasas Grey	Grey/Grey/Grey 	120	7952	159	33
adidas Yeezy Boost 350 V2 Semi Frozen Yellow	Semi Frozen Yellow/Raw Steel/Red 	220	5947	637	81
adidas Ultra Boost 4.0 Triple Black	Black/Black/Black 	200	4069	220	-10
adidas NMD XR1 OG Black	Core Black/Core Black/Footwear White 	150	3922	151	-1
adidas Human Race NMD Pharrell Holi Festival (Core Black)	Core Black/Deepest Purple/Core Black 	250	3778	412	60
adidas Ultra Boost 4.0 Running White	Running White/Running White/Running White 	180	3760	145	-33
adidas Human Race NMD Pharrell Holi Festival (Chalk Coral)	Chalk Coral/Flash Green-Lab Purple 	250	3688	360	-6
adidas Yeezy Powerphase Calabasas Core White	Core White/Core White/Core White 	120	3535	268	92
adidas Human Race NMD Pharrell Holi Festival (Pink Glow)	Pink Glow/Flash Green/Lab Purple 	250	3347	346	#VALUE!
adidas NMD R1 Japan Triple White	Footwear White/Footwear White/Footwear White 	180	2981	171	-28
adidas Yeezy Boost 350 V2 Black Red	Core Black/Core Black/Red 	220	2876	842	346
adidas Ultra Boost 4.0 Cookies and Cream	Footwear White/Footwear White/Grey Two 	200	2845	232	20
adidas Ultra Boost 4.0 Core Black	Core Black/Core Black/Core Black 	180	2716	147	-28
adidas NMD R1 Japan Triple Black	Core Black/Core Black/Core Black 	180	2624	248	42
adidas Human Race NMD Pharrell Oreo	Core Black/Footwear White/Footwear White 	240	2623	515	50
adidas Human Race NMD Pharrell Blank Canvas	Cream White/Running White/Running White 	250	2596	445	60
adidas Human Race NMD Pharrell Multi-Color	Noble Ink/Bold Yellow/Footwear White 	240	2502	404	19
adidas Human Race NMD Pharrell Pale Nude	Pale Nude/Core Black/Yellow 	240	2499	440	44
adidas Dame 4 A Bathing Ape Camo	Black/Green/Gum 	150	2047	323	97
adidas NMD R1 STLT Triple Black	Core Black/Utility Black/Solar Pink 	170	2003	106	-47
adidas NMD Hu Pharrell Solar Pack Red	White/Black/Red 	250	1995	300	18
adidas Ultra Boost 5th Anniversary Black	Black/Iron 	220	1763	164	-39
adidas Ultra Boost 3.0 Triple White	White/White/White 	180	1760	162	5
adidas NMD R1 Neighborhood Core Black	Core Black/Footwear White/Core Black 	200	1747	299	75
adidas Yeezy Boost 350 V2 Core Black White	Core Black/Core White/Core Black 	220	1715	751	209
adidas Human Race NMD Pharrell Sun Glow	Sun Glow/Core Black/Equipment Yellow 	240	1663	422	2
adidas NMD Hu Pharrell Solar Pack Mother	White/Pink/Yellow 	250	1618	283	-16
adidas ZX 500 Dragon Ball Z Son Goku	Orange/Collegiate Royal/Hi-Res Red 	170	1610	317	88
adidas Yeezy Boost 350 V2 Beluga	Steeple Gray/Beluga/Solar Red 	220	1526	829	227
adidas Ultra Boost 1.0 UNDFTD Black	Core Black/Core Black/Footwear White 	#NUM!	1442	289	#VALUE!
adidas EQT Support 93/17 Triple Black	Core Black/Core Black/Core Black 	180	1437	130	-36
adidas Ultra Boost 4.0 A Ma Maniere x Invincible Cashmere Wool	Chalk White/Footwear White/Chalk White 	200	1431	238	7
adidas Ultra Boost Lux Sneakersnstuff x Social Status Vintage White	Vintage White/Chalk White/Clear Brown 	200	1410	149	-34
adidas NMD R1 Colour Static Rainbow	Core White/Multi-Color 	170	1405	184	32
adidas Ultra Boost Clima Core Black Solar Red	Core Black/Core Black/Solar Red 	220	1402	152	-29
adidas Ultra Boost 4.0 Breast Cancer Awareness	Cloud White/Core Black/Shock Pink 	180	1393	163	-22
adidas NMD Hu Pharrell Solar Pack Orange	White/Black/Orange 	250	1287	273	-8
adidas Ultra Boost 2.0 Multi-Color	White/White/Red 	180	1261	243	15
adidas NMD R1 Tri Color Stripes Black	Core Black/White 	170	1194	269	17
adidas Ultra Boost 4.0 Chinese New Year (2018)	Core Black/High Res Red/Grey Five 	180	1176	226	21
adidas Ultra Boost 4.0 Grey Two	Grey Two/Grey Two/Core Black 	180	1138	146	-36
adidas Yung-1 Hi-Res Orange	Hi-Res Orange/Hi-Res Orange/Shock Yellow 	130	1060	138	-19
adidas Ultra Boost 4.0 Parley Carbon	Carbon Carbon/Blue Spirit 	200	1054	127	-46
adidas Yung-1 Dragon Ball Z Frieza	Cloud White/Unity Purple/Clear Lilac 	150	972	230	22
adidas Yung-1 Collegiate Navy	Chalk White/Core Black/Collegiate Navy 	130	941	134	-15
adidas COPA ACE 16+ Purecontrol Ultra Boost Kith Golden Goal	Multi-Color/White 	220	921	204	-18
