Model,Color,Retail_Price($),Release_Date,Number_of_Sales,Avg_Sale_Price($),Price Premium (%)
Jordan 1 Retro High Homage To Home (Non-numbered),Black/University Red-White ,160,5/19/18,22759,267,118
Jordan 1 Retro High Shadow (2018),Black/Medium Grey-White ,160,4/14/18,22008,208,9
Jordan 3 Retro Black Cement (2018),Black/Fire Red-Cement Grey-White ,200,2/17/18,20333,243,18
Jordan 1 Retro High Game Royal,Game Royal/Black-Summit White ,160,3/24/18,16967,208,59
Jordan 1 Retro High Bred Toe,Gym Red/Black-Summit White ,160,2/24/18,15956,303,178
Jordan 1 Retro High Off-White University Blue,White/Dark Powder Blue-Cone ,190,6/23/18,15594,851,269
Jordan 4 Retro Travis Scott Cactus Jack,University Blue/Black-Varsity Red ,225,6/9/18,14849,382,233
Jordan 1 Retro High Pine Green,Pine Green/Sail-Black ,160,9/22/18,12502,265,29
Jordan 1 Retro High Satin Shattered Backboard (W),Black/Black-Starfish-Sail ,160,5/5/18,10550,351,113
Jordan 1 Retro High NRG Patent Gold Toe,Black/Metallic Gold-Summit White ,160,2/10/18,10445,252,144
Jordan 11 Retro Cap and Gown,Black/Black-Black ,250,5/26/18,9767,324,28
Jordan 11 Retro Win Like 96,Gym Red/Black-White ,220,12/9/17,9403,256,1
Jordan 3 Retro Tinker Hatfield,White/Black-Fire Red-Cement Grey ,200,3/24/18,8832,276,3
Air Max 1/97 Sean Wotherspoon (Extra Lace Set Only),Light Blue Fury/Lemon Wash ,160,3/26/18,8648,570,275
Jordan 1 Retro High Court Purple,Court Purple/Black-Sail ,160,9/22/18,7492,332,99
Air Force 1 Low Travis Scott Sail,Sail/Sail-Gum Light Brown ,150,8/10/18,7452,302,47
Jordan 11 Retro UNC Win Like 82,White/University Blue-Midnight Navy ,220,11/11/17,7032,236,5
Jordan 1 Retro High Clay Green,Summit White/Clay Green-Black ,160,5/1/18,6993,220,29
Jordan 1 Retro Royal (2017),Black/Varsity Royal-White ,160,4/1/17,6935,271,56
Jordan 1 Retro High Blue Moon,Summit White/Blue Moon-Black ,160,5/1/18,6510,231,140
Air Presto Off-White Black (2018),Black/White-Cone ,160,7/27/18,5666,743,369
Jordan 3 Retro Hall of Fame,White/Fire Red-Cement Grey-Black ,190,5/12/18,5481,209,15
Air Max 1 Atmos Animal Pack 2.0 (2018 All Black Box),Wheat/Sport Red-Bison-Classic Green ,160,3/17/18,5417,287,56
Air Vapormax Off White 2018,White/Total Orange-Black ,250,4/14/18,5400,591,148
Jordan 11 Retro Space Jam (2016),Black/Dark Concord-White ,220,12/10/16,5334,284,25
Air Presto Off-White White (2018),White/Black-Cone ,160,8/3/18,5093,674,256
