Brand,Model,Color,Retail Price($),Number of Sales,Average Sale Price($),Price Premium(%)
Nike,Jordan 1 Retro High Satin Shattered Backboard (W),Black/Black-Starfish-Sail ,160,10550,351,113
Nike,Jordan 3 Retro Hall of Fame,White/Fire Red-Cement Grey-Black ,190,5481,209,15
Nike,Jordan 1 Mid Black Cone,Black/Cone-Light Bone ,110,70,119,5
Nike,Jordan 11 Retro UNC Win Like 82,White/University Blue-Midnight Navy ,220,7032,236,5
Nike,Jordan 7 Retro Low Taxi,Taxi/Taxi-Black-White-Cardinal Red ,140,131,149,-7
Nike,Jordan 13 Retro Bred (2017),Black/True Red-White ,190,3648,194,-5
Nike,Jordan 11 Retro Low Cool Grey,Medium Grey/White-Gunsmoke ,175,3436,178,2
Nike,Jordan 3 Retro Flyknit Black,Black/Black-Anthracite ,200,1146,243,5
Nike,Jordan 11 Retro 72-10,Black/Gym Red-White-Anthracite ,220,3560,285,10
Nike,Jordan 4 Retro White Cement (2016),White/Fire Red-Black-Tech Grey ,220,2517,300,56
Nike,Jordan 11 Retro Low Derek Jeter RE2PECT,Binary Blue/Binary Blue-Sail ,200,3601,224,-10
Nike,Jordan 11 Retro Low Rose Gold (W),Sail/Metallic Red Bronze-Gum Medium Brown ,175,1654,195,9
Nike,Jordan 12 Retro French Blue (2016),White/French Blue-Metallic Silver-Varsity Red ,190,989,235,32
Nike,Jordan 9 Retro Bred Patent,Black/University Red-Anthracite ,190,4208,224,5
Nike,Jordan 1 Retro High Game Royal (GS),Game Royal/Black-Summit White ,120,4380,163,194
Nike,"Jordan 1 Retro Bred ""Banned"" (2016)""",Black/Varsity Red-White ,160,2964,440,164
Nike,Blazer Mid Off-White All Hallow's Eve,Canvas/Total Orange-Pale Vanilla-Black ,130,1903,673,394
Nike,Blazer Mid Off-White Grim Reaper,Black/White-Cone-Black ,130,1666,615,327
Nike,Air Presto Mid Acronym Racer Pink,Racer Pink/Black-Photo Blue-White ,200,3870,308,32
Nike,Air Presto Mid Acronym Cool Grey,Cool Grey/Black ,200,2263,249,10
Nike,Air Presto Mid Acronym Dynamic Yellow,White/Black-Dynamic Yellow ,200,2197,250,8
Nike,Air Force 1 Ultra Flyknit Low RKK New England Patriots (2018),University Red/College Navy-White ,160,215,267,34
Nike,React Element 87 Blue Chill Solar Red,Black/Cool Grey-Blue Chill-Solar Red ,160,93,245,38
Nike,Zoom Fly Undercover Gyakusou Black,Black/Sail-Mineral Yellow-Black ,190,86,228,11
Nike,Zoom Fly Undercover Gyakusou Blue,Blue Nebula/Sail-Black-University Red ,190,73,228,11
Nike,Air Force 1 Low Travis Scott Sail,Sail/Sail-Gum Light Brown ,150,7452,302,47
Nike,Air Presto Off-White White (2018),White/Black-Cone ,160,5093,674,256
Nike,Air Force 1 Low White (2016),White/White ,90,1186,80,-11
Nike,Air Max 270 Bowfin Black Desert,Black/Phantom-Desert-Cone ,160,165,188,#VALUE!
Nike, React Element 87 Knicks,Wolf Grey/Black-Thunder Blue ,160,51,213,22
Nike,LeBron 16 1 Thru 5 (What The),Multi-Color/Multi-Color ,200,1429,317,94
Nike,Air Presto Off-White Black (2018),Black/White-Cone ,160,5666,743,369
Nike,React Element 55 Black Aurora Green,Black/Aurora Green-Cool Grey ,130,329,151,-8
Nike,React Element 87 Undercover Green Mist,Green Mist/Linen-Summit White ,180,690,391,131
Nike,LeBron 16 Fresh Bred,Black/Black-University Red ,185,387,163,-28
Nike,SB Dunk High Humidity,Metallic Gold/Metallic Gold-Black ,110,1086,213,71
Nike,Zoom Fly Undercover Gyakusou Ink,Ink/Sail-Dark Grey-Black ,190,41,216,-5
Nike,Air Force 1 Low Just Do It Pack White/Black,White/White-Black-Total Orange ,#NUM!,2157,170,#VALUE!
Nike,Air Max 1/97 Sean Wotherspoon (Extra Lace Set Only),Light Blue Fury/Lemon Wash ,160,8648,570,275
Nike,Air Foamposite One Denim,Obsidian/Black-University Red ,230,349,183,-9
Nike,React Element 87 Undercover Volt,Volt/University Red-Black-White ,180,706,328,33
Nike, React Element 87 Undercover Light Beige Chalk,Light Biege Chalk/Signal Blue ,180,645,311,56
Nike, Zoom VaporFly 4% Flyknit Bright Crimson,Bright Crimson/Ice Blue-Total Crimson ,250,181,354,20
Nike,React Element 87 Sail Light Bone,Sail/Light Bone-White-Rush Orange ,160,4688,363,138
Nike,Zoom Fly Mercurial Off-White Total Orange,Total Orange/White-Volt ,200,1989,298,30
Nike,Air Force 1 Low Utility White Black,White/White-Black-Tour Yellow ,100,49,119,20
Nike,Air Force 1 Foamposite Cup Triple Black,Black/Black-Black ,200,697,105,-63
Nike,React Element 87 Black Neptune Green,Black/Midnight Navy-Neptune Green ,160,28,219,31
Nike,SB Gato Supreme White,White/White-Gym Red ,110,1230,154,32
Nike,React Element 87 Desert Sand,Desert Sand/Cool Grey-Smokey Mauve ,160,1892,212,19
Nike,Air Max 1 Atmos Animal Pack 2.0 (2018 All Black Box),Wheat/Sport Red-Bison-Classic Green ,160,5417,287,56
Nike,Zoom Fly Mercurial Off-White Black,Black/Volt-White ,200,2132,358,67
Nike,Zoom Fly SP Breaking 2 (2018),White/Sail-Bright Crimson ,150,364,113,-54
Nike,React Element 55 Black White,Black/White ,130,215,142,-4
Nike,Air Foamposite Pro Sequoia,Sequoia/Black-Team Orange ,230,431,175,-33
Nike,Jordan 1 Mid South Beach,Turbo Green/Black-Hyper Pink-Orange Peel ,115,1910,167,23
Nike,Jordan 1 Retro High Pine Green,Pine Green/Sail-Black ,160,12502,265,29
Nike,Jordan 1 Retro High Court Purple,Court Purple/Black-Sail ,160,7492,332,99
Nike,Jordan 5 Retro Wings,Multi-Color/Multi-Color ,200,2255,289,68
Nike,Jordan 6 Retro Tinker,White/Infrared 23-Neutral Grey-Obsidian ,190,316,193,3
Nike,Jordan 1 Mid South Beach (GS),Turbo Green/Black-Hyper Pink-Orange Peel ,90,345,138,76
Nike,Jordan 1 Retro High Court Purple (GS),Court Purple/Black-Sail ,120,4018,321,192
Nike,Jordan 1 Retro High Shadow (2018),Black/Medium Grey-White ,160,22008,208,9
Nike,Jordan 5 Retro Grape Fresh Prince,White/New Emerald-Grape Ice-Black ,190,1571,254,13
Nike,Jordan 1 Mid Gym Red Black,Gym Red/Black-White ,110,1507,125,-20
Nike,Jordan 1 Retro High Game Royal,Game Royal/Black-Summit White ,160,16967,208,59
Nike,Jordan 1 Retro High Homage To Home (Non-numbered),Black/University Red-White ,160,22759,267,118
Nike,Jordan 4 Retro Travis Scott Cactus Jack,University Blue/Black-Varsity Red ,225,14849,382,233
Nike,Jordan 1 Retro High Bred Toe,Gym Red/Black-Summit White ,160,15956,303,178
Nike,Jordan 6 Retro Tinker (GS),White/Infrared 23-Neutral Grey-Obsidian ,140,87,121,-11
Nike,Jordan 1 Retro High Off-White University Blue,White/Dark Powder Blue-Cone ,190,15594,851,269
Nike,Jordan 3 Retro Black Cement (2018),Black/Fire Red-Cement Grey-White ,200,20333,243,18
Nike,Jordan 1 Retro High Pine Green (GS),Pine Green/Sail-Black ,120,1434,269,120
Nike,Jordan 1 Retro High NRG Patent Gold Toe,Black/Metallic Gold-Summit White ,160,10445,252,144
Nike,Jordan 12 Retro International Flight,College Navy/University Red-Sail ,200,2564,203,4
