Model,Color,Retail_Price,Release_Date,Number_of_Sales,Price_Premium,Avg_Sale_Price
Jordan 1 Retro High Homage To Home (Non-numbered),Black/University Red-White ,160,5/19/18,22759,117.50%,267
Jordan 1 Retro High Shadow (2018),Black/Medium Grey-White ,160,4/14/18,22008,9.40%,208
Jordan 3 Retro Black Cement (2018),Black/Fire Red-Cement Grey-White ,200,2/17/18,20333,17.50%,243
Jordan 1 Retro High Game Royal,Game Royal/Black-Summit White ,160,3/24/18,16967,58.80%,208
Jordan 1 Retro High Bred Toe,Gym Red/Black-Summit White ,160,2/24/18,15956,177.50%,303
Jordan 1 Retro High Off-White University Blue,White/Dark Powder Blue-Cone ,190,6/23/18,15594,268.90%,851
Jordan 4 Retro Travis Scott Cactus Jack,University Blue/Black-Varsity Red ,225,6/9/18,14849,232.90%,382
Jordan 1 Retro High Pine Green,Pine Green/Sail-Black ,160,9/22/18,12502,28.80%,265
Jordan 1 Retro High Satin Shattered Backboard (W),Black/Black-Starfish-Sail ,160,5/5/18,10550,112.50%,351
Jordan 1 Retro High NRG Patent Gold Toe,Black/Metallic Gold-Summit White ,160,2/10/18,10445,143.80%,252
Jordan 11 Retro Cap and Gown,Black/Black-Black ,250,5/26/18,9767,27.60%,324
Jordan 11 Retro Win Like 96,Gym Red/Black-White ,220,12/9/17,9403,0.50%,256
Jordan 3 Retro Tinker Hatfield,White/Black-Fire Red-Cement Grey ,200,3/24/18,8832,2.50%,276
Air Max 1/97 Sean Wotherspoon (Extra Lace Set Only),Light Blue Fury/Lemon Wash ,160,3/26/18,8648,275.00%,570
Jordan 1 Retro High Court Purple,Court Purple/Black-Sail ,160,9/22/18,7492,99.40%,332
Air Force 1 Low Travis Scott Sail,Sail/Sail-Gum Light Brown ,150,8/10/18,7452,47.30%,302
Jordan 11 Retro UNC Win Like 82,White/University Blue-Midnight Navy ,220,11/11/17,7032,4.50%,236
Jordan 1 Retro High Clay Green,Summit White/Clay Green-Black ,160,5/1/18,6993,29.40%,220
Jordan 1 Retro Royal (2017),Black/Varsity Royal-White ,160,4/1/17,6935,56.30%,271
Jordan 1 Retro High Blue Moon,Summit White/Blue Moon-Black ,160,5/1/18,6510,140.00%,231
Air Presto Off-White Black (2018),Black/White-Cone ,160,7/27/18,5666,368.80%,743
Jordan 3 Retro Hall of Fame,White/Fire Red-Cement Grey-Black ,190,5/12/18,5481,14.70%,209
Air Max 1 Atmos Animal Pack 2.0 (2018 All Black Box),Wheat/Sport Red-Bison-Classic Green ,160,3/17/18,5417,56.30%,287
Air Vapormax Off White 2018,White/Total Orange-Black ,250,4/14/18,5400,147.60%,591
Jordan 11 Retro Space Jam (2016),Black/Dark Concord-White ,220,12/10/16,5334,25.00%,284
Air Presto Off-White White (2018),White/Black-Cone ,160,8/3/18,5093,255.60%,674
Nike React Element 87 Sail Light Bone,Sail/Light Bone-White-Rush Orange ,160,7/13/18,4688,137.50%,363
Jordan 13 Retro He Got Game (2018),White/True Red-Black ,190,8/4/18,4475,31.10%,208
Jordan 1 Retro High Game Royal (GS),Game Royal/Black-Summit White ,120,3/24/18,4380,194.20%,163
Air VaporMax Off-White Black,Black/Total Crimson-Clear ,250,3/30/18,4371,166.00%,623
Jordan 9 Retro Bred Patent,Black/University Red-Anthracite ,190,3/10/18,4208,5.30%,224
Jordan 1 Retro High Shadow 2018 (GS),Black/Medium Grey-White ,120,4/14/18,4099,50.00%,142
Air Force 1 Mid Supreme NBA Black,Black/Black ,165,3/8/18,4020,32.10%,229
Jordan 1 Retro High Court Purple (GS),Court Purple/Black-Sail ,120,9/22/18,4018,191.70%,321
Air Presto Mid Acronym Racer Pink,Racer Pink/Black-Photo Blue-White ,200,9/20/18,3870,32.00%,308
Jordan 13 Retro He Got Game 2018 (GS),White/True Red-Black ,140,8/4/18,3665,50.00%,175
Jordan 13 Retro Bred (2017),Black/True Red-White ,190,8/19/17,3648,-5.30%,194
Jordan 11 Retro Low Derek Jeter RE2PECT,Binary Blue/Binary Blue-Sail ,200,5/14/18,3601,-10.00%,224
Jordan 11 Retro 72-10,Black/Gym Red-White-Anthracite ,220,12/12/15,3560,9.50%,285
Air Max 97 Metallic Gold (2018),Metallic Gold/Varsity Red-White-Back ,160,5/18/18,3474,12.50%,185
Nike Cortez Kenny 3 Kendrick Lamar TDE the Championship,Black/White-Gym Red ,100,6/22/18,3455,85.00%,160
Jordan 11 Retro Low Cool Grey,Medium Grey/White-Gunsmoke ,175,4/28/18,3436,2.30%,178
Jordan 1 Retro High Nigel Sylvester,Sail/White-Varsity Red-Reflect Silver ,180,9/1/18,3056,50.00%,348
Air Foamposite One Big Bang,Team Orange/Dark Grey-Black ,230,1/4/18,2998,161.30%,503
"Jordan 1 Retro Bred ""Banned"" (2016)""",Black/Varsity Red-White ,160,9/3/16,2964,164.40%,440
Jordan 4 Retro Raptors,Black/Court Purple-University Red ,200,8/18/18,2884,-10.00%,239
Jordan 3 Retro JTH Bio Beige,Bio Beige/Bio Beige-Camellia-Opti Yellow ,250,8/28/18,2646,27.20%,319
Jordan 12 Retro International Flight,College Navy/University Red-Sail ,200,9/8/18,2564,3.50%,203
Jordan 4 Retro White Cement (2016),White/Fire Red-Black-Tech Grey ,220,2/13/16,2517,56.40%,300
Jordan 12 Retro Flu Game (2016),Black/Varsity Red ,190,5/28/16,2344,46.30%,286
