Brand,Color,Retail_Price ($),Avg_Sale_Price ($),Number_of_Sales
Nike,Black,174.75,258.05,4154.00
Nike,Blue,180.63,270.38,6392.13
Nike,Green,146.43,284.71,2755.71
Nike,Grey,188.75,238.25,1446.50
Nike,Multicolor,170.00,266.75,1334.25
Nike,Orange,201.67,308.67,2098.00
Nike,Pink,200.00,308.00,3870.00
Nike,Purple,140.00,326.50,5755.00
Nike,Red,173.13,234.25,3810.63
Nike,Tan,176.00,360.40,2500.60
Nike,White,175.28,301.19,3174.00
Nike,Yellow,155.00,175.20,1478.60
Adidas,Black,186.72,235.95,1747.19
Adidas,Blue,200,245.67,11163.67
Adidas,Brown,350,737,722
Adidas,Grey,200,323.57,11208.29
Adidas,Multicolor,166.67,179.67,648.67
Adidas,Orange,150,227.5,1335
Adidas,Pink,165,191.5,17503
Adidas,Red,220,295.5,1321.25
Adidas,Tan,170,207,1019.33
Adidas,White,186.47,201.09,1878.59
Adidas,Yellow,220,397.25,13381
