Id,Brand,Category,Sum of Number_of_Sales,Average of Retail_Price ($),Average of Avg_Sale_Price ($),Price_Premium,Count of Color
1,Adidas,Boost,35267,190,158.2,-0.254,35
2,Adidas,Dame,2425,150,377,1.485,2
3,Adidas,NMD,21640,172.2272727,152.6818182,-0.218181818,22
4,Adidas,Other,10256,153.125,171.4375,-0.075,16
5,Adidas,Pharrell,25288,230,350.5384615,0.148461538,13
6,Adidas,Yeezy Boost,145738,243.6363636,609.3636364,1.264545455,11
7,Adidas,Yeezy Other,112547,180,262.5714286,0.392857143,7
8,Nike,Baller,8766,183.5714286,273.8571429,0.277142857,7
9,Nike,Jordan 1,167595,140.1923077,227.1153846,0.768846154,26
10,Nike,Jordan X+,67339,198.25,227.7,0.113,20
11,Nike,Off-White,51061,181.5384615,595.6923077,2.848461538,13
12,Nike,Other,64979,171.7567568,245.1621622,0.326756757,37
13,Nike,SB,2316,110,183.5,0.515,2
14,Nike,Jordan II-IX,71973,194.4444444,234.5555556,0.227222222,18
