Model,Color,Model Color,Retail_Price,Release_Date,Number_of_Sales,Price_Premium,Avg_Sale_Price
adidas Yeezy Boost 350 V2 Beluga 2.0,Grey,Grey/Bold Orange/Dark Grey ,$220 ,11/25/17,37501,100.00%,$399 
adidas Yeezy Boost 350 V2 Butter,Yellow,Butter/Butter/Butter ,$220 ,6/30/18,35599,16.80%,$277 
adidas Yeezy 500 Blush,Pink,Blush/Blush/Blush ,$200 ,2/16/18,34960,65.00%,$292 
adidas Yeezy Boost 350 V2 Blue Tint,Blue,Blue Tint/Grey Three/High Risk Red ,$220 ,12/16/17,32575,69.50%,$380 
adidas Yeezy Wave Runner 700 Solid Grey,Grey,Solid Grey/Chalk White/Core Black ,$300 ,11/1/17,29730,12.30%,$471 
adidas Yeezy 500 Utility Black,Black,Utility Black/Utility Black/Utility Black ,$200 ,7/7/18,18032,59.50%,$273 
adidas Yeezy Boost 350 V2 Cream/Triple White,White,Cream White/Cream White ,$220 ,4/29/17,16920,9.10%,$368 
adidas Yeezy 500 Super Moon Yellow,Yellow,Super Moon Yellow/Super Moon Yellow/Super Moon Yellow ,$200 ,6/9/18,10315,19.00%,$253 
adidas Yeezy Boost 350 V2 Zebra,White,White/Core Black/Red ,$220 ,2/25/17,9949,68.20%,$530 
adidas Yeezy Powerphase Calabasas Core Black,Black,Core Black/Core Black/Core Black ,$120 ,3/17/18,8023,-5.80%,$122 
adidas Yeezy Powerphase Calabasas Grey,Grey,Grey/Grey/Grey ,$120 ,12/9/17,7952,33.30%,$159 
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,Yellow,Semi Frozen Yellow/Raw Steel/Red ,$220 ,11/18/17,5947,80.50%,$637 
adidas Ultra Boost 4.0 Triple Black,Black,Black/Black/Black ,$200 ,11/30/17,4069,-10.00%,$220 
adidas NMD XR1 OG Black,Black,Core Black/Core Black/Footwear White ,$150 ,5/20/17,3922,-0.70%,$151 
adidas Human Race NMD Pharrell Holi Festival (Core Black),Black,Core Black/Deepest Purple/Core Black ,$250 ,3/16/18,3778,59.60%,$412 
adidas Ultra Boost 4.0 Running White,White,Running White/Running White/Running White ,$180 ,11/30/17,3760,-32.80%,$145 
adidas Human Race NMD Pharrell Holi Festival (Chalk Coral),Red,Chalk Coral/Flash Green-Lab Purple ,$250 ,3/16/18,3688,-6.00%,$360 
adidas Yeezy Powerphase Calabasas Core White,White,Core White/Core White/Core White ,$120 ,3/28/17,3535,91.70%,$268 
adidas NMD R1 Japan Triple White,White,Footwear White/Footwear White/Footwear White ,$180 ,8/11/17,2981,-27.80%,$171 
adidas Yeezy Boost 350 V2 Black Red,Black,Core Black/Core Black/Red ,$220 ,2/11/17,2876,345.50%,$842 
adidas Ultra Boost 4.0 Cookies and Cream,White,Footwear White/Footwear White/Grey Two ,$200 ,2/6/18,2845,20.00%,$232 
adidas Ultra Boost 4.0 Core Black,Black,Core Black/Core Black/Core Black ,$180 ,11/30/17,2716,-27.80%,$147 
adidas NMD R1 Japan Triple Black,Black,Core Black/Core Black/Core Black ,$180 ,8/11/17,2624,41.70%,$248 
adidas Human Race NMD Pharrell Oreo,Black,Core Black/Footwear White/Footwear White ,$240 ,11/11/17,2623,50.00%,$515 
adidas Human Race NMD Pharrell Blank Canvas,White,Cream White/Running White/Running White ,$250 ,2/23/18,2596,60.00%,$445 
adidas Human Race NMD Pharrell Multi-Color,Black,Noble Ink/Bold Yellow/Footwear White ,$240 ,11/11/17,2502,18.80%,$404 
adidas Human Race NMD Pharrell Pale Nude,Tan,Pale Nude/Core Black/Yellow ,$240 ,11/11/17,2499,43.80%,$440 
