Model,Color,Retail_Price,Release_Date,Number_of_Sales,Price_Premium,Avg_Sale_Price
didas Yeezy Boost 350 V2 Cream/Triple White,Cream White/Cream White ,$220 ,2017-04-29 ,16664,11.4%,$371
adidas Yeezy Wave Runner 700 Solid Grey,Solid Grey/Chalk White/Core Black ,$300 ,2017-11-01 ,29578,14.0%,$472
adidas ZX 500 Dragon Ball Z Son Goku,Orange/Collegiate Royal/Hi-Res Red ,$170 ,2018-09-29 ,1610,87.6%,$317
adidas Yeezy Boost 350 V2 Zebra,White/Core Black/Red ,$220 ,2017-02-25 ,9939,39.1%,$531
adidas Yeezy 500 Utility Black,Utility Black/Utility Black/Utility Black ,$200 ,2018-07-07 ,17941,79.0%,$273
adidas Yung-1 Dragon Ball Z Frieza,Cloud White/Unity Purple/Clear Lilac ,$150 ,2018-09-29 ,972,22.0%,$230
adidas Yeezy Boost 350 V2 Butter,Butter/Butter/Butter ,$220 ,2018-06-30 ,35513,6.8%,$277
adidas Ultra Boost 4.0 Breast Cancer Awareness,Cloud White/Core Black/Shock Pink ,$180 ,2018-09-01 ,1393,-22.2%,$163
adidas Yeezy Boost 350 V2 Blue Tint,Blue Tint/Grey Three/High Risk Red ,$220 ,2017-12-16 ,32546,77.3%,$380
adidas NMD R1 Core Black Lush Red,Core Black/Core Black/Lush Red ,$150 ,2018-09-06 ,618,-26.7%,$113
adidas Yeezy 500 Blush,Blush/Blush/Blush ,$200 ,2018-02-16 ,34932,29.0%,$291
adidas Yeezy Boost 350 V2 Beluga 2.0,Grey/Bold Orange/Dark Grey ,$220 ,2017-11-25 ,37482,115.9%,$399
adidas Ultra Boost 4.0 Running White,Running White/Running White/Running White ,$180 ,2017-11-30 ,3743,-32.2%,$145
adidas Yeezy 500 Super Moon Yellow,Super Moon Yellow/Super Moon Yellow/Super Moon Yellow ,$200 ,2018-06-09 ,10295,31.5%,$252
adidas NMD R1 Duck Camo Core Black,Core Black/Grey Four/Grey Five ,$130 ,2018-08-01 ,367,-53.8%,$96
adidas NMD R1 STLT Triple Black,Core Black/Utility Black/Solar Pink ,$170 ,2018-03-31 ,2003,-47.1%,$106
adidas Yeezy Powerphase Calabasas Core Black,Core Black/Core Black/Core Black ,$120 ,2018-03-17 ,8007,-4.2%,$122
adidas Ultra Boost 4.0 White Multi-Color,Cloud White/Cloud White/Collegiate Navy ,$180 ,2018-09-01 ,118,-33.9%,$138
adidas NMD Hu Pharrell Solar Pack Red,White/Black/Red ,$250 ,2018-08-18 ,1987,20.0%,$300
adidas NMD Hu Pharrell Solar Pack Orange,White/Black/Orange ,$250 ,2018-08-18 ,1287,-8.0%,$273
adidas Ultra Boost 4 Show Your Stripes Black,Core Black/Cloud White/Carbon ,$180 ,2018-01-11 ,714,-38.9%,$133
adidas Ultra Boost 4.0 Black Multi-Color,Core Black/Carbon/Ash Silver ,$180 ,2018-09-01 ,371,-38.9%,$121
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,Semi Frozen Yellow/Raw Steel/Red ,$220 ,2017-11-18 ,5942,120.5%,$637
adidas NMD Hu Pharrell Solar Pack Mother,White/Pink/Yellow ,$250 ,2018-08-18 ,1618,-16.0%,$283
adidas Ultra Boost 4.0 Core Black,Core Black/Core Black/Core Black ,$180 ,2017-11-30 ,2700,-25.0%,$147
adidas Ultra Boost 4.0 Show Your Stripes Cloud White,Cloud White/Tech Ink/Ash Pearl ,$180 ,2018-07-01 ,392,-25.0%,$140
adidas Ultra Boost 4.0 Grey Two,Grey Two/Grey Two/Core Black ,$180 ,2017-11-17 ,1138,-36.1%,$146
adidas Ultra Boost 4.0 Parley Legend Ink,Legend Ink/Carbon/Blue Spirit ,$180 ,2018-06-27 ,805,-28.3%,$145
adidas NMD TS1 Gore-Tex Triple Black,Core Black/Core Black/Core Black ,$230 ,2018-09-06 ,290,-26.5%,$193
adidas Ultra Boost Clima Core Black Solar Red,Core Black/Core Black/Solar Red ,$220 ,2018-06-14 ,1402,-29.1%,$152
adidas Ultra Boost 4.0 Triple Black,Black/Black/Black ,$200 ,2017-11-30 ,4066,17.5%,$220
adidas NMD R1 STLT Stealth Pack Core Black,Core Black/Grey Two/Grey Five ,$140 ,2018-07-01 ,44,-57.1%,$63
adidas NMD R1 Duck Camo Sesame,Sesame/Trace Cargo/Base Green ,$130 ,2018-08-01 ,412,-42.3%,$90
adidas Ultra Boost A Kind Of Guise,Core White/Punjab ,NaN ,2018-08-25 ,589,NaN,$242
adidas Solar Hu Glide Black,Footwear White/Core Black/Bold Green ,$150 ,2018-09-08 ,424,12.0%,$220
adidas Solar Hu Glide Multi-Color,Multi-Color ,$150 ,2018-09-08 ,580,30.0%,$224
adidas Yung-1 Collegiate Navy,Chalk White/Core Black/Collegiate Navy ,$130 ,2018-06-20 ,941,-14.6%,$134
adidas Yung-1 Cloud White,Running White/Running White/Cloud White ,$120 ,2018-09-13 ,175,-8.3%,$126
adidas NMD R1 Sesame Black,Sesame/Sesame/Off White ,$140 ,2018-08-01 ,147,-44.3%,$91
adidas Ultra Boost 4.0 Tech Ink,Tech Ink/Cloud White/Vapor Grey ,$180 ,2018-07-27 ,136,-33.3%,$128
adidas NMD XR1 OG Black,Core Black/Core Black/Footwear White ,$150 ,2017-05-20 ,3942,11.3%,$151
adidas Yeezy Boost 350 V2 Beluga,Steeple Gray/Beluga/Solar Red ,$220 ,2016-09-24 ,1526,227.3%,$829
adidas Human Race NMD Pharrell Holi Festival (Pink Glow),Pink Glow/Flash Green/Lab Purple ,$250 ,2018-03-16 ,3337,--,$346
adidas Yeezy Boost 350 V2 Core Black White,Core Black/Core White/Core Black ,$220 ,2016-12-17 ,1715,209.1%,$751
adidas Yeezy Boost 350 V2 Black Red,Core Black/Core Black/Red ,$220 ,2017-02-11 ,2871,268.2%,$843
adidas Falcon White Blue (W),Cloud White/Cloud White/Blue ,$100 ,2018-09-06 ,192,NaN,$119
adidas EQT Support 93/17 Triple Black,Core Black/Core Black/Core Black ,$180 ,2017-11-24 ,1437,-36.1%,$130
adidas Ultra Boost 2.0 White Reflective,White/White ,$200 ,2016-10-26 ,226,-0.5%,$218
adidas Ultra Boost 2.0 Multi-Color,White/White/Red ,$180 ,2016-07-27 ,1261,15.0%,$243
adidas Ultra Boost 4.0 Cookies and Cream,Footwear White/Footwear White/Grey Two ,$200 ,2018-02-06 ,2845,20.0%,$232
