Brand,Model,Color,Model Color,Retail_Price ($),Release_Date,Number_of_Sales,Price_Premium,Avg_Sale_Price ($)
Adidas,adidas Yeezy Boost 350 V2 Beluga 2.0,Grey,Grey/Bold Orange/Dark Grey ,220,11/25/17,37501,1.00,399
Adidas,adidas Yeezy Boost 350 V2 Butter,Yellow,Butter/Butter/Butter ,220,6/30/18,35599,0.17,277
Adidas,adidas Yeezy 500 Blush,Pink,Blush/Blush/Blush ,200,2/16/18,34960,0.65,292
Adidas,adidas Yeezy Boost 350 V2 Blue Tint,Blue,Blue Tint/Grey Three/High Risk Red ,220,12/16/17,32575,0.70,380
Adidas,adidas Yeezy Wave Runner 700 Solid Grey,Grey,Solid Grey/Chalk White/Core Black ,300,11/1/17,29730,0.12,471
Adidas,adidas Yeezy 500 Utility Black,Black,Utility Black/Utility Black/Utility Black ,200,7/7/18,18032,0.60,273
Adidas,adidas Yeezy Boost 350 V2 Cream/Triple White,White,Cream White/Cream White ,220,4/29/17,16920,0.09,368
Adidas,adidas Yeezy 500 Super Moon Yellow,Yellow,Super Moon Yellow/Super Moon Yellow/Super Moon Yellow ,200,6/9/18,10315,0.19,253
Adidas,adidas Yeezy Boost 350 V2 Zebra,White,White/Core Black/Red ,220,2/25/17,9949,0.68,530
Adidas,adidas Yeezy Powerphase Calabasas Core Black,Black,Core Black/Core Black/Core Black ,120,3/17/18,8023,-0.06,122
Adidas,adidas Yeezy Powerphase Calabasas Grey,Grey,Grey/Grey/Grey ,120,12/9/17,7952,0.33,159
Adidas,adidas Yeezy Boost 350 V2 Semi Frozen Yellow,Yellow,Semi Frozen Yellow/Raw Steel/Red ,220,11/18/17,5947,0.81,637
Adidas,adidas Ultra Boost 4.0 Triple Black,Black,Black/Black/Black ,200,11/30/17,4069,-0.10,220
Adidas,adidas NMD XR1 OG Black,Black,Core Black/Core Black/Footwear White ,150,5/20/17,3922,-0.01,151
Adidas,adidas Human Race NMD Pharrell Holi Festival (Core Black),Black,Core Black/Deepest Purple/Core Black ,250,3/16/18,3778,0.60,412
Adidas,adidas Ultra Boost 4.0 Running White,White,Running White/Running White/Running White ,180,11/30/17,3760,-0.33,145
Adidas,adidas Human Race NMD Pharrell Holi Festival (Chalk Coral),Red,Chalk Coral/Flash Green-Lab Purple ,250,3/16/18,3688,-0.06,360
Adidas,adidas Yeezy Powerphase Calabasas Core White,White,Core White/Core White/Core White ,120,3/28/17,3535,0.92,268
Adidas,adidas NMD R1 Japan Triple White,White,Footwear White/Footwear White/Footwear White ,180,8/11/17,2981,-0.28,171
Adidas,adidas Yeezy Boost 350 V2 Black Red,Black,Core Black/Core Black/Red ,220,2/11/17,2876,3.46,842
Adidas,adidas Ultra Boost 4.0 Cookies and Cream,White,Footwear White/Footwear White/Grey Two ,200,2/6/18,2845,0.20,232
Adidas,adidas Ultra Boost 4.0 Core Black,Black,Core Black/Core Black/Core Black ,180,11/30/17,2716,-0.28,147
Adidas,adidas NMD R1 Japan Triple Black,Black,Core Black/Core Black/Core Black ,180,8/11/17,2624,0.42,248
Adidas,adidas Human Race NMD Pharrell Oreo,Black,Core Black/Footwear White/Footwear White ,240,11/11/17,2623,0.50,515
Adidas,adidas Human Race NMD Pharrell Blank Canvas,White,Cream White/Running White/Running White ,250,2/23/18,2596,0.60,445
Adidas,adidas Human Race NMD Pharrell Multi-Color,Black,Noble Ink/Bold Yellow/Footwear White ,240,11/11/17,2502,0.19,404
Adidas,adidas Human Race NMD Pharrell Pale Nude,Tan,Pale Nude/Core Black/Yellow ,240,11/11/17,2499,0.44,440
Adidas,adidas Dame 4 A Bathing Ape Camo,Black,Black/Green/Gum ,150,2/16/18,2047,0.97,323
Adidas,adidas NMD Hu Pharrell Solar Pack Red,White,White/Black/Red ,250,8/18/18,1995,0.18,300
Adidas,adidas Ultra Boost 5th Anniversary Black,Black,Black/Iron ,220,2/1/18,1763,-0.39,164
Adidas,adidas Ultra Boost 3.0 Triple White,White,White/White/White ,180,12/6/16,1760,0.05,162
Adidas,adidas NMD R1 Neighborhood Core Black,Black,Core Black/Footwear White/Core Black ,200,2/24/18,1747,0.75,299
Adidas,adidas Human Race NMD Pharrell Sun Glow,Yellow,Sun Glow/Core Black/Equipment Yellow ,240,11/11/17,1663,0.02,422
Adidas,adidas Ultra Boost 4.0 A Ma Maniere x Invincible Cashmere Wool,White,Chalk White/Footwear White/Chalk White ,200,12/16/17,1431,0.07,238
Adidas,adidas Ultra Boost Lux Sneakersnstuff x Social Status Vintage White,White,Vintage White/Chalk White/Clear Brown ,200,12/20/17,1410,-0.34,149
Adidas,adidas NMD R1 Colour Static Rainbow,White,Core White/Multi-Color ,170,11/11/17,1405,0.32,184
Adidas,adidas NMD R1 Tri Color Stripes Black,Black,Core Black/White ,170,12/3/16,1194,0.17,269
Adidas,adidas Ultra Boost 4.0 Chinese New Year (2018),Black,Core Black/High Res Red/Grey Five ,180,1/1/18,1176,0.21,226
Adidas,adidas COPA ACE 16+ Purecontrol Ultra Boost Kith Golden Goal,Multicolor,Multi-Color/White ,220,6/29/18,921,-0.18,204
Adidas,adidas Yeezy Boost 750 Light Brown Gum (Chocolate),Brown,Light Brown/Light Brown/Gum ,350,10/15/16,722,1.11,737
Adidas,adidas Ultra Boost 4.0 Triple White (W),White,Running White/Running White/Running White ,180,11/27/17,261,-0.31,143
Adidas,adidas Ultra Boost Uncaged White Tint,White,Footwear White/White Tint/Core Black ,180,11/30/17,336,-0.52,104
