Model,Color,Retail_Price,Release_Date,Number_of_Sales,Price_Premium,Avg_Sale_Price
Jordan 6 Retro Tinker,White/Infrared 23-Neutral Grey-Obsidian ,$190 ,2018-10-06 ,265,-6.8%,$196
Jordan 1 Retro High Court Purple (GS),Court Purple/Black-Sail ,$120 ,2018-09-22 ,3945,142.5%,$320
Jordan 1 Retro High Shadow (2018),Black/Medium Grey-White ,$160 ,2018-04-14 ,21963,21.9%,$208
Jordan 1 Retro High Homage To Home (Non-numbered),Black/University Red-White ,$160 ,2018-05-19 ,22718,50.6%,$267
Jordan 5 Retro Grape Fresh Prince,White/New Emerald-Grape Ice-Black ,$190 ,2018-09-25 ,1514,11.1%,$255
Jordan 5 Retro Wings (GS),Multi-Color/Multi-Color ,$160 ,2018-09-29 ,288,25.0%,$213
Jordan 1 Retro High Bred Toe,Gym Red/Black-Summit White ,$160 ,2018-02-24 ,15928,176.3%,$303
Jordan 5 Retro Wings (GS),Multi-Color/Multi-Color ,$160 ,2018-09-29 ,288,25.0%,$213
Jordan 1 Retro High Bred Toe,Gym Red/Black-Summit White ,$160 ,2018-02-24 ,15928,176.3%,$303
Jordan 4 Retro Travis Scott Cactus Jack,University Blue/Black-Varsity Red ,$225 ,2018-06-09 ,14810,40.0%,$382
Jordan 1 Retro High Pine Green (GS),Pine Green/Sail-Black ,$120 ,2018-09-22 ,1407,123.3%,$269
Jordan 1 Mid Gym Red Black,Gym Red/Black-White ,$110 ,2018-06-01 ,1465,27.3%,$125
Jordan 1 Retro High Game Royal,Game Royal/Black-Summit White ,$160 ,2018-03-24 ,16928,10.0%,$208
Jordan 3 Retro Black Cement (2018),Black/Fire Red-Cement Grey-White ,$200 ,2018-02-17 ,20306,14.0%,$243
Jordan 5 Retro Paris Saint-Germain,Black/Challenge Red-White ,$225 ,2018-09-14 ,1804,3.1%,$266
Jordan 12 Retro International Flight,College Navy/University Red-Sail ,$200 ,2018-09-08 ,2545,-9.5%,$203
Jordan 5 Retro International Flight,Sail/Racer Blue-Cone-Black ,$190 ,2018-08-25 ,1251,-26.8%,$152
Jordan 3 Retro Tinker Hatfield,White/Black-Fire Red-Cement Grey ,$200 ,2018-03-24 ,8820,7.5%,$276
Jordan 4 Retro Raptors,Black/Court Purple-University Red ,$200 ,2018-08-18 ,2865,15.0%,$239
Jordan 1 Retro High Shadow 2018 (GS),Black/Medium Grey-White ,$120 ,2018-04-14 ,4085,70.0%,$142
Jordan 1 Retro High NRG Patent Gold Toe,Black/Metallic Gold-Summit White ,$160 ,2018-02-10 ,10412,118.8%,$252
Jordan 3 Retro JTH Bio Beige,Bio Beige/Bio Beige-Camellia-Opti Yellow ,$250 ,2018-08-28 ,2636,2.0%,$319
Jordan 1 Retro High Clay Green,Summit White/Clay Green-Black ,$160 ,2018-05-01 ,6982,16.3%,$220
Jordan 6 Retro Tinker (GS),White/Infrared 23-Neutral Grey-Obsidian ,$140 ,2018-10-06 ,51,-12.9%,$121
Jordan 1 Retro Royal (2017),Black/Varsity Royal-White ,$160 ,2017-04-01 ,6955,87.5%,$271
Jordan 1 Retro High Satin Shattered Backboard (W),Black/Black-Starfish-Sail ,$160 ,2018-05-05 ,10550,112.5%,$351
Jordan 11 Retro Space Jam (2016),Black/Dark Concord-White ,$220 ,2016-12-10 ,5326,35.9%,$284
Jordan 13 Retro He Got Game (2018),White/True Red-Black ,$190 ,2018-08-04 ,4456,18.4%,$208
Jordan 1 Mid Gym Red Black (GS),Gym Red/Black-White ,$90 ,2018-06-01 ,236,2.2%,$102
Jordan 11 Retro Win Like 96,Gym Red/Black-White ,$220 ,2017-12-09 ,9382,14.1%,$256
Jordan 11 Retro Cap and Gown,Black/Black-Black ,$250 ,2018-05-26 ,9750,8.0%,$324
Jordan 1 Mid Multi-Color Swoosh (GS),Black/White-University Red-Tour Yellow ,$90 ,2018-06-01 ,158,16.7%,$121
Jordan 13 Retro He Got Game 2018 (GS),White/True Red-Black ,$140 ,2018-08-04 ,3648,32.9%,$175
Jordan 3 Retro Hall of Fame,White/Fire Red-Cement Grey-Black ,$190 ,2018-05-12 ,5481,14.7%,$209
Jordan 1 Mid Black Cone,Black/Cone-Light Bone ,$110 ,2018-09-15 ,70,4.5%,$119
Jordan 1 Retro High Blue Moon,Summit White/Blue Moon-Black ,$160 ,2018-05-01 ,6495,139.4%,$231
Jordan 11 Retro UNC Win Like 82,White/University Blue-Midnight Navy ,$220 ,2017-11-11 ,7032,4.5%,$236
Jordan 7 Retro Low Taxi,Taxi/Taxi-Black-White-Cardinal Red ,$140 ,2018-09-27 ,131,-7.1%,$149
Jordan 13 Retro Bred (2017),Black/True Red-White ,$190 ,2017-08-19 ,3648,-5.3%,$194
Jordan 11 Retro Low Cool Grey,Medium Grey/White-Gunsmoke ,$175 ,2018-04-28 ,3436,2.3%,$178
Jordan 3 Retro Flyknit Black,Black/Black-Anthracite ,$200 ,2018-08-15 ,1146,5.0%,$243
Jordan 11 Retro 72-10,Black/Gym Red-White-Anthracite ,$220 ,2015-12-12 ,3560,9.5%,$285
Jordan 4 Retro White Cement (2016),White/Fire Red-Black-Tech Grey ,$220 ,2016-02-13 ,2517,56.4%,$300
Jordan 11 Retro Low Derek Jeter RE2PECT,Binary Blue/Binary Blue-Sail ,$200 ,2018-05-14 ,3601,-10.0%,$224
Jordan 12 Retro Flu Game (2016),Black/Varsity Red ,$190 ,2016-05-28 ,2348,39.5%,$286
Jordan 11 Retro Low Rose Gold (W),Sail/Metallic Red Bronze-Gum Medium Brown ,$175 ,2018-04-13 ,1654,8.6%,$195
Jordan 12 Retro French Blue (2016),White/French Blue-Metallic Silver-Varsity Red ,$190 ,2016-04-02 ,989,31.6%,$235
Jordan 9 Retro Bred Patent,Black/University Red-Anthracite ,$190 ,2018-03-10 ,4208,5.3%,$224
Jordan 1 Retro High Game Royal (GS),Game Royal/Black-Summit White ,$120 ,2018-03-24 ,4380,194.2%,$163
Jordan 1 Retro Bred "Banned" (2016)",Black/Varsity Red-White ,$160 ,2016-09-03 ,2964,164.4%,$440
